Change Component Footprint: Designator=D1 Old Footprint=ONSC-AXIAL_LEAD-2-267-05_V New Footprint=FP-SMA-MFG
Change Component Comment : Designator=D1 Old Comment=1N5406G New Comment=S1B-13-F
Change Managed Component Library Link : Designator=D1 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=AACBD91C-9F7E-4063-99F2-3B57D462B176 New ItemGUID=F01938BE-3607-49F5-B169-76B7635C9471 Old RevisionGUID=18E93CCF-FEAF-44B6-BA0D-149DFD8186D2 New RevisionGUID=565BAFFE-E1AE-4935-8D77-49CFBD1C96BB
Change component parameters: Designator = "D1" ("D1"); Footprint = "ONSC-AXIAL_LEAD-2-267-05_V"; UniqueID = "\RAGKQGOX" ("\RAGKQGOX")
Change component parameters (AddParameter): Name = "Average Rectified Current"; Value = "1A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Capacitance"; Value = "10pF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case/Package"; Value = "SMA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Plating"; Value = "Tin"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Rating"; Value = "1A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Element Configuration"; Value = "Single"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Forward Current"; Value = "1A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Forward Voltage"; Value = "1.1V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "2.1mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "4.6mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "150°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Repetitive Reverse Voltage (Vrrm)"; Value = "100V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Reverse Voltage (DC)"; Value = "100V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Surge Current"; Value = "30A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-65°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Pins"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Output Current"; Value = "1A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "5000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Peak Non-Repetitive Surge Current"; Value = "30A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Peak Reverse Current"; Value = "5uA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Polarity"; Value = "Standard"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Recovery Time"; Value = "1.8us"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reverse Recovery Time"; Value = "3us"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reverse Voltage (DC)"; Value = "100V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating (DC)"; Value = "100V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Weight"; Value = "0.002258oz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "2.92mm"; VariantName = "[No Variations]"
